[2014-06-29 17:25:43] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 17:29:22] EDIT gabaros2/controllers/manage_char.py: 4
[2014-06-29 17:30:29] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 17:31:01] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 17:31:23] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 17:33:23] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 17:40:52] EDIT gabaros2/models/x10_character.py: 0
[2014-06-29 17:41:29] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 17:47:17] EDIT gabaros2/controllers/manage_char.py: 1
[2014-06-29 17:47:50] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 17:48:03] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 17:49:14] EDIT gabaros2/controllers/manage_char.py: -1
[2014-06-29 21:16:43] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 21:17:00] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 21:17:35] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 21:18:00] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 21:34:20] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 21:34:29] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 22:48:12] EDIT gabaros2/controllers/manage_char.py: 28
[2014-06-29 22:48:20] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 22:48:25] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 22:48:47] CREATE manage_chars/edit_ware.html: 0
[2014-06-29 22:49:36] EDIT gabaros2/views/manage_chars/edit_ware.html: 15
[2014-06-29 22:50:04] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-29 22:56:20] EDIT gabaros2/modules/data.py: 0
[2014-06-29 22:56:43] EDIT gabaros2/modules/data.py: 0
[2014-06-29 22:57:43] CREATE manage_char/edit_ware.html: 0
